Disciplina:FISICA ZERO; Codigo: IFD0004; Pre requisitos: -; Unidade responsavel: INSTITUTO DE FISICA; Ementa: A definir.
Disciplina:INTRODUCAO A FISICA DE PLASMA; Codigo: IFD0169; Pre requisitos: ( ( IFD0179 OU IFD0224 OU IFD0055 OU IFD0422 ) E ( MAT0026 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: 01-OCORRENCIA, DEFINICAO E CRITERIO PARA PLASMA 02-MOVIMENTO DE PARTICULAS ISOLADAS NA PRESENCA DE CAMPO ELETROMAGNETI- CO. APROXIMACAO DO CENTRO DE GIRACAO E INVARIANTE ADIABATICO. 03-MODELO DE FLUIDO PARA PLASMA 04-ONDAS EM PLASMA 05-EQUILIBRIO E ESTABILIDADE 06-PLASMAS DESCRITO ATRAVES DA TEORIA CINETICA. AMORTECIMENTO DE LANDAU.

Disciplina:FISICA 1; Codigo: IFD0171; Pre requisitos: -; Unidade responsavel: INSTITUTO DE FISICA; Ementa: Modulos 1: Unidades e grandezas fisicas 2: Vetores 3: Movimento retilineo 4: Movimento em duas e tres dimensoes 5: Leis de Newton do movimento 6: Aplicacao das Leis de Newton 7: Trabalho e Energia Cinetica 8: Energia potencial e conservacao de energia 9: Momento linear e impulso 10: Colisoes 11: Rotacao de corpos rigidos 12:Dinamica do movimento de rotacao.

Disciplina:FISICA 1 EXPERIMENTAL; Codigo: IFD0173; Pre requisitos: -; Unidade responsavel: INSTITUTO DE FISICA; Ementa: MEDIDAS E ERROS. ANALISE GRAFICA. ATRITO. COLISAO. CONSERVACAO DO MOMENTO LINEAR. ESTUDO DOS MOVIMENTOS. ROTACAO. CONSERVACAO DE ENERGIA. EQUILIBRIO DE CORPOS RIGIDOS.

Disciplina:FISICA 2; Codigo: IFD0175; Pre requisitos: ( ( IFD0069 OU IFD0210 OU IFD0171 ) E ( MAT0025 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Modulos 1: Equilibrio e elasticidade 2: Gravitacao 3: Mecanica dos fluidos 4: Movimento periodico 5: Ondas mecanicas 6: Modos normais e som 7: Fenomenos on- dulatorios 8: Temperatura e calor 9: Propriedades termicas da materia 10: Trabalho e primeira lei da termodinamica 11: Gases ideais e Processos termodinamicos 12: Segunda lei da termodinamica.

Disciplina:FISICA 2 EXPERIMENTAL; Codigo: IFD0177; Pre requisitos: ( ( IFD0010 E IFD0069 ) OU ( IFD0171 E IFD0173 ) E ( MAT0025 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: GIROSCOPIO. MOVIMENTO PERIODICO. HIDROSTATICA. ONDAS SONORAS. DILATACAO LINEAR. CALOR ESPECIFICO. DOS SOLIDOS. CONDUCAO DE CALOR. COMPORTAMENTO DO GASES.

Disciplina:FISICA 3; Codigo: IFD0179; Pre requisitos: ( ( IFD0175 E MAT0026 ) OU ( IFD0217 E MAT0026 ) OU ( IFD0299 E IFD0302 E MAT0023 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: LEI DE COULOMB. O CAMPO ELETRICO - LEI DE GAUSS. POTENCIAL, CAPACITANCIA, PROPRIEDADE DOS DIELETRICOS. CORRENTE, RESISTENCIA E FEM. CIRCUITOS E INSTRUMENTOS DE CORRENTE CONTINUA. O CAMPO MAGNETICO. FORCAS MAGNETICAS SOBRE CONDUTORES DE CORRENTES. CAMPO MAGNETICO PRODUZIDO POR CORRENTES. FORCA ELETROMOTRIZ INDUZIDA. CORRENTES ALTERNADAS. EQUACOES DE MAXWELL.

Disciplina:FISICA 3 EXPERIMENTAL; Codigo: IFD0181; Pre requisitos: ( ( IFD0175 E MAT0026 ) OU ( IFD0217 E IFD0220 E MAT0026 ) OU ( IFD0010 E IFD0013 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: FUNDAMENTOS TEORICOS USO DE MEDIDORES ELETRICOS E FONTES RESISTENCIA ELETRICA OHMICA E NAO OHMICA FONTE DE TENSAO FEM E RESISTENCIA INTERNA PONTE DE WHEATSTONE MEDIDAS DE RESISTENCIAS, SUPERFICIES EQUIPOTENCIAIS E LINHAS DE CAMPO DEFLEXAO ELETROMAGNETICA DE ELETRONS CAPACITORES SOB CORRENTES CC FORCA MAGNETICA SOBRE SEGMENTOS RETILINEOS DE CORRENTES AS BOBUNAS DE HELMHOLTZ E A RAZAO e/m PARA O ELETRON CIRCUITOS COM CORRENTES ALTERNADAS RESSONANCIA NO CIRCUITO RLC SERIE TRANSFORMADORES E CIRCUITOS RETIFICADORES.

